OBJECTID *,Shape *,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo,Shape_Length,Shape_Area
67,Polygon,Pangasinan,PH015500000,<Null>,<Null>,<Null>,Region I ,PH010000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,7.246192,0.435199
68,Polygon,Quezon,PH045600000,<Null>,<Null>,<Null>,Region IV-A ,PH040000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,19.816972,0.70348
69,Polygon,Quirino,PH025700000,<Null>,<Null>,<Null>,Region II ,PH020000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,2.976781,0.234041
70,Polygon,Rizal,PH045800000,<Null>,<Null>,<Null>,Region IV-A ,PH040000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,2.98064,0.100686
71,Polygon,Romblon,PH175900000,<Null>,<Null>,<Null>,Region IV-B ,PH170000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,5.702443,0.108889
72,Polygon,Samar,PH086000000,<Null>,<Null>,<Null>,Region VIII ,PH080000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,13.305485,0.44654
73,Polygon,Sarangani,PH128000000,<Null>,<Null>,<Null>,Region XII ,PH120000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,5.172659,0.302231
74,Polygon,Siquijor,PH076100000,<Null>,<Null>,<Null>,Region VII ,PH070000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,1.057424,0.026291
75,Polygon,Sorsogon,PH056200000,<Null>,<Null>,<Null>,Region V ,PH050000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,6.46107,0.165417
76,Polygon,South Cotabato,PH126300000,<Null>,<Null>,<Null>,Region XII ,PH120000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,3.61534,0.336635
77,Polygon,Southern Leyte,PH086400000,<Null>,<Null>,<Null>,Region VIII ,PH080000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,4.214644,0.136631
78,Polygon,Sultan Kudarat,PH126500000,<Null>,<Null>,<Null>,Region XII ,PH120000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,5.027333,0.345416
79,Polygon,Sulu,PH156600000,<Null>,<Null>,<Null>,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,20.260352,0.123792
80,Polygon,Surigao del Norte,PH166700000,<Null>,<Null>,<Null>,Region XIII ,PH160000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,12.873523,0.162574
81,Polygon,Surigao del Sur,PH166800000,<Null>,<Null>,<Null>,Region XIII ,PH160000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,8.88043,0.3861
82,Polygon,Tarlac,PH036900000,<Null>,<Null>,<Null>,Region III ,PH030000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,2.521633,0.250267
83,Polygon,Tawi-Tawi,PH157000000,<Null>,<Null>,<Null>,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,15.971438,0.094186
84,Polygon,Zambales,PH037100000,<Null>,<Null>,<Null>,Region III ,PH030000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,5.32977,0.313705
85,Polygon,Zamboanga del Norte,PH097200000,<Null>,<Null>,<Null>,Region IX ,PH090000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,8.170921,0.515482
86,Polygon,Zamboanga del Sur,PH097300000,<Null>,<Null>,<Null>,Region IX ,PH090000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,11.811657,0.439806
87,Polygon,Zamboanga Sibugay,PH098300000,<Null>,<Null>,<Null>,Region IX ,PH090000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,8.997252,0.223408
