taxa,aln,clade,member,source,sample_id,host,region,sample_id,year
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-13-009_NB13,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-13-009_NB13,Domestic dog,4A,Z-13-009,2013
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-13-032_NB16,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-13-032_NB16,Domestic dog,NCR,Z-13-032,2013
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-13-071_NB12,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-13-071_NB12,Domestic dog,NCR,Z-13-071,2013
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-13-094_NB15,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-13-094_NB15,Domestic dog,4A,Z-13-094,2013
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-13-096_NB08,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-13-096_NB08,Domestic cat,NCR,Z-13-096,2013
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-14-033_NB18,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-14-033_NB18,Domestic dog,4A,Z-14-033,2014
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-14-136_NB01,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-14-136_NB01,Domestic dog,4A,Z-14-136,2014
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-14-138_NB02,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-14-138_NB02,Domestic dog,NCR,Z-14-138,2014
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive1_phl_Z-14-146_NB03,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive1_phl_Z-14-146_NB03,Domestic dog,4A,Z-14-146,2014
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-14-149_NB20,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-14-149_NB20,Domestic dog,4A,Z-14-149,2014
