filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAT54077_05dfcd85_9.fast5	7f8e30a9-8b4e-417d-ba45-20d1f1b22521	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	501	4	2356.766500	3.147250	2517	TRUE	2356.806500	2485	3.107250	1111	11.023026	2.916555	96.288605	11.717661	96.288605	11.717661
FAT54077_05dfcd85_9.fast5	29763e91-03e0-4a07-af17-9a2036c5ca80	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	95	1	2499.577250	1.627250	1301	TRUE	2499.776000	1142	1.428500	532	11.157361	2.907539	88.307007	11.208198	88.307007	11.208198
FAT54077_05dfcd85_9.fast5	073b294e-80f2-43f8-8f8c-327d0a0126c3	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	128	1	2460.852250	1.275750	1020	TRUE	2460.912250	972	1.215750	440	9.911661	2.831064	88.307007	10.528913	88.307007	10.528913
FAT54077_05dfcd85_9.fast5	bdf90f4b-b78e-42e5-b4bc-92303f954f97	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	306	3	2522.721250	3.114250	2491	TRUE	2522.783750	2441	3.051750	920	11.077894	2.757211	93.741287	13.076230	93.741287	13.076230
FAT54077_05dfcd85_9.fast5	c33e1cd7-7f4d-478e-a47e-150f3ec5a104	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	294	2	2384.828750	6.396000	5116	TRUE	2384.991250	4986	6.233500	1728	8.987863	2.688773	88.137192	12.227124	88.137192	12.227124
FAT54077_05dfcd85_9.fast5	5bc2ca0a-6d3f-406c-9468-76136ec734c3	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	126	3	2338.513000	1.444750	1155	TRUE	2338.563000	1115	1.394750	495	9.689038	2.826746	87.118263	11.887482	87.118263	11.887482
FAT54077_05dfcd85_9.fast5	af967335-d09a-4d90-82e6-488126eb410b	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	96	4	2353.244500	3.916750	3133	FALSE	2353.315750	3076	3.845500	1080	7.555560	2.590307	86.948441	11.887482	86.948441	11.887482
FAT54077_05dfcd85_9.fast5	95d5af76-f0fb-49cc-a287-e9db10b30676	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	43	3	2426.487750	4.469750	3575	TRUE	2426.622750	3467	4.334750	1460	8.975227	2.744277	90.344864	12.396946	90.344864	12.396946
FAT54077_05dfcd85_9.fast5	4555ee70-3aed-47f6-9319-c26ae2fe138a	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	34	1	2358.556750	3.057750	2446	TRUE	2358.634250	2384	2.980250	1101	11.230373	2.915868	90.514687	12.566767	90.514687	12.566767
FAT54077_05dfcd85_9.fast5	0879e16d-2cba-4182-94e4-363223344d3c	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	182	2	2471.633000	3.282000	2625	TRUE	2471.689250	2580	3.225750	1071	11.927949	2.858124	91.363792	12.227124	91.363792	12.227124
FAT54077_05dfcd85_9.fast5	8914f0b1-a602-4b84-be29-1b708cc3758c	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	445	3	2338.281250	2.344500	1875	TRUE	2338.340000	1828	2.285750	498	8.944609	2.457886	111.232872	11.887482	111.232872	11.887482
FAT54077_05dfcd85_9.fast5	939868f3-f0dd-43ba-9e20-611f0c62c8e1	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	53	4	2472.773750	1.859500	1487	TRUE	2472.862500	1416	1.770750	515	10.183651	2.683262	100.364311	12.057303	100.364311	12.057303
FAT54077_05dfcd85_9.fast5	3ec36579-a92e-4dc1-b1ae-974be0e57968	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	35	1	2483.826000	1.540250	1232	TRUE	2483.953500	1130	1.412750	472	12.481812	2.823427	89.325935	11.717661	89.325935	11.717661
FAT54077_05dfcd85_9.fast5	f2e28613-02bc-41d5-825d-2074a9232f42	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	359	1	2381.138750	1.411500	1129	FALSE	2381.258750	1033	1.291500	489	7.335484	2.726050	90.684509	11.717661	90.684509	11.717661
FAT54077_05dfcd85_9.fast5	a2124e7b-707d-4957-be81-45d25cf7a744	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	61	1	2515.360750	2.070000	1656	TRUE	2515.428250	1602	2.002500	639	9.772067	2.732378	97.307533	10.359092	97.307533	10.359092
